step,loss,lr,tokens_per_sec,total_tokens,elapsed_min
1225,5.022046,0.00018375,28623,120422400,70.15
1230,5.063195,0.00018450,28622,120913920,70.44
1235,4.947498,0.00018525,28624,121405440,70.72
1240,6.024463,0.00018600,28628,121896960,71.01
1245,5.193306,0.00018675,28625,122388480,71.29
1250,5.074764,0.00018750,28621,122880000,71.58
1255,5.040501,0.00018825,28627,123371520,71.87
1260,5.082384,0.00018900,28627,123863040,72.15
1265,4.992061,0.00018975,28627,124354560,72.44
1270,5.002120,0.00019050,28624,124846080,72.72
1275,5.009825,0.00019125,28623,125337600,73.01
1280,4.920311,0.00019200,28618,125829120,73.30
1285,5.012780,0.00019275,28623,126320640,73.58
1290,5.032720,0.00019350,28625,126812160,73.87
1295,4.962749,0.00019425,28621,127303680,74.16
1300,5.021221,0.00019500,28620,127795200,74.44
1305,4.958175,0.00019575,28621,128286720,74.73
1310,4.990554,0.00019650,28621,128778240,75.01
1315,4.991244,0.00019725,28623,129269760,75.30
1320,4.920865,0.00019800,28622,129761280,75.59
1325,4.920435,0.00019875,28619,130252800,75.87
1330,4.913158,0.00019950,28624,130744320,76.16
1335,4.935130,0.00020025,28628,131235840,76.45
1340,4.925560,0.00020100,28626,131727360,76.73
1345,4.907855,0.00020175,28619,132218880,77.02
1350,4.858447,0.00020250,28626,132710400,77.30
1355,4.958479,0.00020325,28625,133201920,77.59
1360,4.987572,0.00020400,28627,133693440,77.88
1365,5.045433,0.00020475,28620,134184960,78.16
1370,4.937838,0.00020550,28623,134676480,78.45
1375,4.942093,0.00020625,28621,135168000,78.74
1380,4.946274,0.00020700,28623,135659520,79.02
1385,4.888697,0.00020775,28623,136151040,79.31
1390,4.839156,0.00020850,28625,136642560,79.59
1395,4.907121,0.00020925,28624,137134080,79.88
1400,4.872181,0.00021000,28625,137625600,80.17
1405,4.916383,0.00021075,28624,138117120,80.45
1410,4.895643,0.00021150,28618,138608640,80.74
1415,4.880587,0.00021225,28627,139100160,81.02
1420,4.825682,0.00021300,28621,139591680,81.31
1425,4.864375,0.00021375,28623,140083200,81.60
1430,4.841690,0.00021450,28621,140574720,81.88
1435,4.838083,0.00021525,28626,141066240,82.17
1440,4.854912,0.00021600,28622,141557760,82.46
1445,4.786972,0.00021675,28621,142049280,82.74
1450,4.802928,0.00021750,28626,142540800,83.03
1455,4.844435,0.00021825,28624,143032320,83.31
1460,4.822027,0.00021900,28625,143523840,83.60
1465,4.847109,0.00021975,28619,144015360,83.89
1470,4.823918,0.00022050,28623,144506880,84.17
1475,4.811851,0.00022125,28623,144998400,84.46
1480,4.707025,0.00022200,28621,145489920,84.75
1485,4.921843,0.00022275,28620,145981440,85.03
1490,5.152339,0.00022350,28618,146472960,85.32
1495,4.875901,0.00022425,28629,146964480,85.60
1500,4.843112,0.00022500,28624,147456000,85.89
1505,4.801002,0.00022575,26761,147947520,86.20
1510,4.072111,0.00022650,28626,148439040,86.48
1515,4.827327,0.00022725,28623,148930560,86.77
1520,4.791153,0.00022800,28626,149422080,87.05
1525,4.789059,0.00022875,28628,149913600,87.34
1530,4.784495,0.00022950,28623,150405120,87.63
1535,4.838028,0.00023025,28625,150896640,87.91
1540,4.787017,0.00023100,28623,151388160,88.20
1545,4.692677,0.00023175,28615,151879680,88.49
1550,4.689707,0.00023250,28620,152371200,88.77
1555,4.715877,0.00023325,28623,152862720,89.06
1560,4.785180,0.00023400,28621,153354240,89.34
1565,4.735645,0.00023475,28627,153845760,89.63
1570,4.707746,0.00023550,28623,154337280,89.92
1575,4.773597,0.00023625,28627,154828800,90.20
1580,4.702126,0.00023700,28619,155320320,90.49
1585,4.684039,0.00023775,28627,155811840,90.78
